Name;Brand;Store Number;Phone Number;Ownership Type;Street Combined;Street 1;Street 2;Street 3;City;Country Subdivision;Country;Postal Code;Coordinates;Latitude;Longitude;Timezone;Current Timezone Offset;Olson Timezone;First Seen
340 Albert Street;Starbucks;4944-128924;613-232-9089;CO;340 Albert Street, Unit No G-06;340 Albert Street;Unit No G-06;;Ottawa;ON;CA;K1R 7X7;45.4188308716, -75.7025604248;45.41883087158203;-75.70256042480469;Eastern Standard Time;-300;GMT-05:00 America/Toronto;2013-12-08T17:41:59-05:00
326 Elgin Street;Starbucks;4238-914;(613) 232-9525;CO;326 Elgin Street;326 Elgin Street;;;Ottawa;ON;CA;K2P 1M8;45.4160919189, -75.6890106201;45.41609191894531;-75.68901062011719;Eastern Standard Time;-300;GMT-05:00 America/Toronto;2013-12-08T17:41:59-05:00
125 Riocan Ave;Starbucks;4652-99940;613-823-3345;CO;125 Riocan Ave, 1;125 Riocan Ave;1;;Ottawa;ON;CA;K2J 5G4;45.2695884705, -75.739402771;45.269588470458984;-75.7394027709961;Eastern Standard Time;-300;GMT-05:00 America/Toronto;2013-12-08T17:41:59-05:00
787 Bank Street;Starbucks;4283-937;(613) 232-4166;CO;787 Bank Street;787 Bank Street;;;Ottawa;ON;CA;K1S 3V5;45.4031944275, -75.6882553101;45.403194427490234;-75.6882553100586;Eastern Standard Time;-300;GMT-05:00 America/Toronto;2013-12-08T17:41:59-05:00
50 Rideau Centre;Starbucks;4960-130968;613-230-0330;CO;50 Rideau Centre;50 Rideau Centre;;;Ottawa;ON;CA;K1N 9J7;45.4254264832, -75.6929397583;45.4254264831543;-75.69293975830078;Eastern Standard Time;-300;GMT-05:00 America/Toronto;2013-12-08T17:41:59-05:00
50  O'Connor Street;Starbucks;4268-943;(613) 233-8368;CO;50  O'Connor Street, Sun Life Centre;50  O'Connor Street;;Sun Life Centre;Ottawa;ON;CA;K1P 5G5;45.4206924438, -75.6991271973;45.420692443847656;-75.69912719726562;Eastern Standard Time;-300;GMT-05:00 America/Toronto;2013-12-08T17:41:59-05:00
421 Richmond Road;Starbucks;4484-88341;613-715-9796;CO;421 Richmond Road, 101, Westboro Village Centre;421 Richmond Road;101;Westboro Village Centre;Ottawa;ON;CA;K2A 4H1;45.3905029297, -75.7573852539;45.3905029296875;-75.75738525390625;Eastern Standard Time;-300;GMT-05:00 America/Toronto;2013-12-08T17:41:59-05:00
380 Coventry Road;Starbucks;4788-104697;613-744-6471;CO;380 Coventry Road;380 Coventry Road;;;Ottawa;ON;CA;K1K 2C6;45.4210891724, -75.649230957;45.42108917236328;-75.64923095703125;Eastern Standard Time;-300;GMT-05:00 America/Toronto;2013-12-08T17:41:59-05:00
690 Eagleson Road;Starbucks;4922-107288;613-595-1569;CO;690 Eagleson Road;690 Eagleson Road;;;Ottawa;ON;CA;K2M 2G9;45.2867546082, -75.8677215576;45.2867546081543;-75.86772155761719;Eastern Standard Time;-300;GMT-05:00 America/Toronto;2013-12-08T17:41:59-05:00
University of Ottawa - Laurier;Starbucks;78061-118147;613-562-5800;LS;Laurier Ave E & Nicolas St;Laurier Ave E & Nicolas St;;;Ottawa;ON;CA;K1N 6N5;45.423248291, -75.6876449585;45.423248291015625;-75.6876449584961;Eastern Standard Time;-300;GMT-05:00 America/Toronto;2013-12-08T17:41:59-05:00
129 Bank Street;Starbucks;4245-912;(613) 238-7613;CO;129 Bank Street;129 Bank Street;;;Ottawa;ON;CA;K1P 5N7;45.4192657471, -75.6995162964;45.41926574707031;-75.69951629638672;Eastern Standard Time;-300;GMT-05:00 America/Toronto;2013-12-08T17:41:59-05:00
47 Rideau Street;Starbucks;4249-913;(613) 562-0588;CO;47 Rideau Street, Chapters - Rideau Street;47 Rideau Street;;Chapters - Rideau Street;Ottawa;ON;CA;K1N 5W8;45.4258308411, -75.6930084229;45.42583084106445;-75.69300842285156;Eastern Standard Time;-300;GMT-05:00 America/Toronto;2013-12-08T17:41:59-05:00
100 Trainyards Drive, Unit 14A;Starbucks;4957-130970;613-241-8858;CO;100 Trainyards Drive,  Unit 14A;100 Trainyards Drive,  Unit 14A;;;Ottawa;ON;CA;K1G 3S2;45.4131507874, -75.6468963623;45.413150787353516;-75.64689636230469;Eastern Standard Time;-300;GMT-05:00 America/Toronto;2013-12-08T17:41:59-05:00
349 Preston Street;Starbucks;4768-104194;613-236-1743;CO;349 Preston Street, Unit 1D-20A, Preston Square;349 Preston Street;Unit 1D-20A;Preston Square;Ottawa;ON;CA;K1S 5N4;45.4018287659, -75.7099761963;45.40182876586914;-75.70997619628906;Eastern Standard Time;-300;GMT-05:00 America/Toronto;2013-12-08T17:41:59-05:00
2210 Bank Street;Starbucks;4277-915;6137333227;CO;2210 Bank Street, South Keys Shopping Center;2210 Bank Street;;South Keys Shopping Center;Ottawa;ON;CA;K1V 1G6;45.3567314148, -75.6558303833;45.35673141479492;-75.65583038330078;Eastern Standard Time;-300;GMT-05:00 America/Toronto;2013-12-08T17:41:59-05:00
1910 St. Laurent Blvd;Starbucks;4517-93451;613-248-0550;CO;1910 St. Laurent Blvd, Unit A/B;1910 St. Laurent Blvd;Unit A/B;;Ottawa;ON;CA;K1G 1A4;45.3989906311, -75.6231155396;45.398990631103516;-75.62311553955078;Eastern Standard Time;-300;GMT-05:00 America/Toronto;2013-12-08T17:41:59-05:00
124 O'Connor Street;Starbucks;4649-99938;613-232-0959;CO;124 O'Connor Street;124 O'Connor Street;;;Ottawa;ON;CA;K1P 5M9;45.4194297791, -75.6973266602;45.419429779052734;-75.69732666015625;Eastern Standard Time;-300;GMT-05:00 America/Toronto;2013-12-08T17:41:59-05:00
Carleton University;Starbucks;70089-116694;613 520 2600;LS;1125 Colonel By Dr;1125 Colonel By Dr;;;Ottawa;ON;CA;K1S 5B6;45.3829345703, -75.6989135742;45.3829345703125;-75.69891357421875;Eastern Standard Time;-300;GMT-05:00 America/Toronto;2013-12-08T17:41:59-05:00
81 Metcalfe Street;Starbucks;4516-93218;613-569-6060;CO;81 Metcalfe St;81 Metcalfe St;;;Ottawa;ON;CA;K1P 6K7;45.4211883545, -75.6957092285;45.42118835449219;-75.69570922851562;Eastern Standard Time;-300;GMT-05:00 America/Toronto;2013-12-08T17:41:59-05:00
131 Queen Street;Starbucks;4696-101662;613-232-0731;CO;131 Queen Street, Units F & G;131 Queen Street;Units F & G;;Ottawa;ON;CA;K1P 0A1;45.4217147827, -75.6984786987;45.421714782714844;-75.69847869873047;Eastern Standard Time;-300;GMT-05:00 America/Toronto;2013-12-08T17:41:59-05:00
Compass @ Lord Elgin;Starbucks;75220-89640;(613)796-9145;LS;100 Elgin St;100 Elgin St;;;Ottawa;ON;CA;K1P 5K8;45.4213829041, -75.6936569214;45.421382904052734;-75.69365692138672;Eastern Standard Time;-300;GMT-05:00 America/Toronto;2013-12-08T17:41:59-05:00
3302 Woodroffe Avenue;Starbucks;4683-100798;613-823-9903;CO;3302 Woodroffe Avenue;3302 Woodroffe Avenue;;;Ottawa;ON;CA;K2J 4G5;45.2751312256, -75.7187652588;45.27513122558594;-75.71876525878906;Eastern Standard Time;-300;GMT-05:00 America/Toronto;2013-12-08T17:41:59-05:00
2222 Carling Avenue;Starbucks;4824-108289;613-828-7729;CO;2222 Carling Avenue, Unit 1;2222 Carling Avenue;Unit 1;;Ottawa;ON;CA;K2A 1H3;45.3690910339, -75.7722167969;45.36909103393555;-75.772216796875;Eastern Standard Time;-300;GMT-05:00 America/Toronto;2013-12-08T17:41:59-05:00
